2017,clausura,Jornada 1 04 Feb - 15 Mar,Antofagasta,0 , 2,Everton Viña
2017,clausura,Jornada 1 04 Feb - 15 Mar,A. Italiano,2 , 0,Cobresal
2017,clausura,Jornada 1 04 Feb - 15 Mar,U. Española,0 , 3,Colo Colo
2017,clausura,Jornada 1 04 Feb - 15 Mar,D. Iquique,2 , 0,U. de Chile
2017,clausura,Jornada 1 04 Feb - 15 Mar,Palestino,1 , 2,U. de Conce
2017,clausura,Jornada 1 04 Feb - 15 Mar,U. Católica,1 , 0,CD San Luis
2017,clausura,Jornada 1 04 Feb - 15 Mar,Deportes Temuco,1 , 0,Huachipato
2017,clausura,Jornada 1 04 Feb - 15 Mar,Wanderers,1 , 2,O´Higgins
2017,clausura,Jornada 2 10 - 12 Feb,Cobresal,3 , 1,Antofagasta
2017,clausura,Jornada 2 10 - 12 Feb,CD San Luis,2 , 3,D. Iquique
2017,clausura,Jornada 2 10 - 12 Feb,Huachipato,3 , 2,Palestino
2017,clausura,Jornada 2 10 - 12 Feb,O´Higgins,2 , 0,U. Española
2017,clausura,Jornada 2 10 - 12 Feb,U. de Chile,1 , 0,Deportes Temuco
2017,clausura,Jornada 2 10 - 12 Feb,Colo Colo,4 , 0,A. Italiano
2017,clausura,Jornada 2 10 - 12 Feb,Everton Viña,2 , 1,U. Católica
2017,clausura,Jornada 2 10 - 12 Feb,U. de Conce,1 , 0,Wanderers
2017,clausura,Jornada 1 04 Feb - 15 Mar,Antofagasta,0 , 2,Everton Viña
2017,clausura,Jornada 1 04 Feb - 15 Mar,A. Italiano,2 , 0,Cobresal
2017,clausura,Jornada 1 04 Feb - 15 Mar,U. Española,0 , 3,Colo Colo
2017,clausura,Jornada 1 04 Feb - 15 Mar,D. Iquique,2 , 0,U. de Chile
2017,clausura,Jornada 1 04 Feb - 15 Mar,Palestino,1 , 2,U. de Conce
2017,clausura,Jornada 1 04 Feb - 15 Mar,U. Católica,1 , 0,CD San Luis
2017,clausura,Jornada 1 04 Feb - 15 Mar,Deportes Temuco,1 , 0,Huachipato
2017,clausura,Jornada 1 04 Feb - 15 Mar,Wanderers,1 , 2,O´Higgins
2017,clausura,Jornada 2 10 - 12 Feb,Cobresal,3 , 1,Antofagasta
2017,clausura,Jornada 2 10 - 12 Feb,CD San Luis,2 , 3,D. Iquique
2017,clausura,Jornada 2 10 - 12 Feb,Huachipato,3 , 2,Palestino
2017,clausura,Jornada 2 10 - 12 Feb,O´Higgins,2 , 0,U. Española
2017,clausura,Jornada 2 10 - 12 Feb,U. de Chile,1 , 0,Deportes Temuco
2017,clausura,Jornada 2 10 - 12 Feb,Colo Colo,4 , 0,A. Italiano
2017,clausura,Jornada 2 10 - 12 Feb,Everton Viña,2 , 1,U. Católica
2017,clausura,Jornada 2 10 - 12 Feb,U. de Conce,1 , 0,Wanderers
2017,clausura,Jornada 3 17 - 19 Feb,D. Iquique,3 , 1,Cobresal
2017,clausura,Jornada 3 17 - 19 Feb,Huachipato,2 , 1,U. de Chile
2017,clausura,Jornada 3 17 - 19 Feb,Colo Colo,2 , 1,O´Higgins
2017,clausura,Jornada 3 17 - 19 Feb,Palestino,0 , 2,A. Italiano
2017,clausura,Jornada 3 17 - 19 Feb,Wanderers,3 , 0,U. Católica
2017,clausura,Jornada 3 17 - 19 Feb,Antofagasta,5 , 0,U. de Conce
2017,clausura,Jornada 3 17 - 19 Feb,CD San Luis,1 , 1,Everton Viña
2017,clausura,Jornada 3 17 - 19 Feb,U. Española,5 , 2,Deportes Temuco
2017,clausura,Jornada 4 24 - 26 Feb,U. de Conce,1 , 1,D. Iquique
2017,clausura,Jornada 4 24 - 26 Feb,Antofagasta,1 , 1,Palestino
2017,clausura,Jornada 4 24 - 26 Feb,A. Italiano,3 , 2,Huachipato
2017,clausura,Jornada 4 24 - 26 Feb,O´Higgins,4 , 1,Cobresal
2017,clausura,Jornada 4 24 - 26 Feb,U. de Chile,0 , 0,Everton Viña
2017,clausura,Jornada 4 24 - 26 Feb,Deportes Temuco,2 , 2,Colo Colo
2017,clausura,Jornada 4 24 - 26 Feb,Wanderers,0 , 3,CD San Luis
2017,clausura,Jornada 4 24 - 26 Feb,U. Católica,2 , 3,U. Española
2017,clausura,Jornada 5 03 - 06 Mar,D. Iquique,2 , 2,A. Italiano
2017,clausura,Jornada 5 03 - 06 Mar,U. Española,3 , 0,Huachipato
2017,clausura,Jornada 5 03 - 06 Mar,Cobresal,1 , 2,Deportes Temuco
2017,clausura,Jornada 5 03 - 06 Mar,Colo Colo,2 , 0,U. Católica
2017,clausura,Jornada 5 03 - 06 Mar,Everton Viña,2 , 2,Wanderers
2017,clausura,Jornada 5 03 - 06 Mar,Palestino,1 , 3,U. de Chile
2017,clausura,Jornada 5 03 - 06 Mar,CD San Luis,0 , 5,Antofagasta
2017,clausura,Jornada 5 03 - 06 Mar,O´Higgins,1 , 1,U. de Conce
